"agency","name","address","city","state","zip","website","img_url"
"Albuquerque Police Department","Chief Mike Geier","400 Roma NW","Albuquerque","New Mexico","87102","http://www.cabq.gov/police","http://www.cabq.gov/police/images/chief-mike-geier-0092a_.jpg/@@images/1304e942-6bef-4010-84f3-f5e7eec21a5d.jpeg"
"Arlington Police Department","Chief Will Johnson","620 West Division St","Arlington","Texas","76011","http://www.arlington-tx.gov/police","https://p1cdn4static.civiclive.com/UserFiles/Servers/Server_14481062/Image/City%20Hall/Departments/Police/About%20Us/Meet%20the%20Police%20Chief/portrait_WillJohnson.jpg"
"Atlanta Police Department","Chief Erika Shields","226 Peachtree St","Atlanta","Georgia","30303","http://www.atlantapd.org/","http://www.atlantapd.org/Home/ShowImage?id=594&amp;t=636199128410730000"
"Aurora Police Department","Chief Nicholas Metz","15001 E Alameda Pkwy","Aurora","Colorado","80012","https://www.auroragov.org/residents/public_safety/police","https://p1cdn4static.civiclive.com/UserFiles/Servers/Server_1881137/Image/Residents/Public%20Safety/Police/Command%20Staff/DSC_0163%20copy.jpg"
"Austin Police Department","Chief Brian Manley","715 E 8th St","Austin","Texas","78701","https://www.austintexas.gov/department/police","https://www.austintexas.gov/sites/default/files/files/Chief_Brian_Manley_pic.jpg"
"Baltimore Police Department","Commissioner Michael Harrison","601 East Fayette St","Baltimore","Maryland","21211","https://www.baltimorepolice.org/","https://www.baltimorepolice.org/sites/default/files/styles/croped_photo/public/images/PC-Michael-Harrison.jpg?itok=Os5Gocdr"
"Baltimore County Police Department","Chief Melissa Hyatt","700 East Joppa Rd","Towson","Maryland","21286","https://www.baltimorecountymd.gov/agencies/police","https://www.baltimorecountymd.gov/sebin/x/m/chief-melissa-hyatt-new.jpg"
"Boston Police Department","Commissioner William Gross","One Schroeder Plaza","Boston","Massachusetts","2120","https://bpdnews.com/","https://images.squarespace-cdn.com/content/v1/5086f19ce4b0ad16ff15598d/1533734229335-MYYMLBWGJY16PF9TL1OZ/ke17ZwdGBToddI8pDm48kJKo3YTR7zgUvInmXMbZ6zZ7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0geeCvn1f36QDdcifB7yxGjTk-SMFplgtEhJ5kBshkhu5q5viBDDnY2i_eu2ZnquSA/MDV_1195.jpg?format=750w"
"Buffalo Police Department","Commissioner Byron Lockwood","68 Court St","Buffalo","New York","14202","https://www.bpdny.org","https://www.buffalony.gov/ImageRepository/Document?documentID=4015"
"Calgary Police Service","Chief Mark Neufeld","5111 - 47 Street NE","Calgary","Alberta","T3J 3R2","https://www.calgary.ca/cps/Pages/home.aspx","https://www.calgary.ca/cps/PublishingImages/chief-constable-mark-neufeld.jpg"
"Charlotte-Mecklenburg Police Department","Chief Kerr Putney","601 East Trade St","Charlotte","North Carolina","28202","https://charlottenc.gov/cmpd/Pages/default.aspx","https://charlottenc.gov/CMPD/Organization/PublishingImages/OfcoftheChief/Chiefweb_Putney.jpg"
"Chicago Police Department","Interim Superintendent Charlie Beck","3510 South Michigan Ave","Chicago","Illinois","60653","https://home.chicagopolice.org/","https://www.cityclub-chicago.org/content/images/cms/interim-superintendent-of-police-charlie-beck_crop.jpg/image-full;max$194,0.ImageHandler"
"Cincinnati Police Department","Chief Eliot Isaac","310 Ezzard Charles Dr","Cincinnati","Ohio","45214","http://www.cincinnati-oh.gov/police","https://www.cincinnati-oh.gov/police/assets/Image/ChiefWebPAge_176x203.jpg"
"Cleveland Division of Police","Chief Calvin Williams","1300 Ontario St","Cleveland","Ohio","44113","http://www.city.cleveland.oh.us/CityofCleveland/Home/Government/CityAgencies/PublicSafety/Police","http://www.city.cleveland.oh.us/sites/default/files/styles/large/public/Williams.jpg?itok=lNXrmgQ_"
"Columbus Division of Police","Chief Thomas Quinlan","120 Marconi Blvd","Columbus","Ohio","43215","https://www.columbus.gov/police/","https://www.columbus.gov/uploadedImages/Columbus/Departments/Public_Safety/Division_of_Police/Police/ChiefQuinlanProfilePicture.jpg"
"Dallas Police Department","Chief U. Reneé Hall","1400 South Lamar St","Dallas","Texas","75215","http://www.dallaspolice.net/","https://dallaspolice.net/about/PublishingImages/s/biography/ureneehall_feature_bio.jpeg"
"DeKalb County Police Department","Chief Mirtha Ramos","1960 West Exchange Pl","Tucker","Georgia","30084","https://www.dekalbcountyga.gov/police-services/welcome","https://www.ajc.com/rf/image_inline/Pub/p10/AJC/2019/10/07/Images/100819%20dekalb%20chief_AP1%20(1).JPG"
"Denver Police Department","Chief Paul Pazen","1331 Cherokee St","Denver","Colorado","80204","https://www.denvergov.org/content/denvergov/en/police-department/_jcr_content/content/columncontrol_1073722329/col-1/panel/panel-parsys/denver_richtext_imag.img.jpg/1583510561814.jpg"
"Detroit Police Department","Chief James Craig","1301 Third St","Detroit","Michigan","48226","https://detroitmi.gov/departments/police-department","https://detroitmi.gov/sites/detroitmi.localhost/files/2018-03/james-craig.jpg"
"Edmonton Police Service","Chief Dale McFee","9620-103A Avenue","Edmonton","Alberta","T5H 0H7","http://www.edmontonpolice.ca/","https://pbs.twimg.com/media/DyVz8B9VAAAYuyT.jpg"
"El Paso Police Department","Chief Greg Allen","911 N Raynor St","El Paso","Texas","79903","http://www.eppd.org/","https://thumbnails.texastribune.org/QxY8_nP09szjC3D23wUVPgqwoqw=/1250x838/smart/filters:quality(80)/https://static.texastribune.org/media/images/2016/07/11/El_Paso_Chief_Allen.jpg"
"Fairfax County Police Department","Chief Edwin Roessler","4100 Chain Bridge Rd","Fairfax","Virginia","22030","https://www.fairfaxcounty.gov/police/","https://www.fairfaxcounty.gov/police/sites/police/files/Assets/images/Chief/KAD_0022_0.jpg"
"Fort Worth Police Department","Chief Ed Kraus","350 West Belknap St","Fort Worth","Texas","76102","https://police.fortworthtexas.gov/default.aspx?p=2115","https://police.fortworthtexas.gov/images/executive-staff/ChiefKraus270.jpg"
