"city","state","name","email","phone","img_url","city_site_url","population"
"Anchorage","AK","Ethan Berkowitz","mayor@muni.org","907-343-7100","https://secure.usmayors.org/mayorphotos/Berkowitz_Ethan!28.jpg","http://www.muni.org","291538"
"Juneau","AK","Beth Weldon","mayor@ci.juneau.ak.us","907-586-5240","https://secure.usmayors.org/mayorphotos/Weldon_Beth!54426.jpg","http://www.juneau.org","32113"
"Fairbanks","AK","Jim Matherly","jmatherly@fairbanks.us","907-459-6793","https://secure.usmayors.org/mayorphotos/Matherly_Jim!53134.jpg","http://www.fairbanksalaska.us","31516"
"Birmingham","AL","Randall Woodfin","randall.woodfin@birminghamal.gov","205-254-2277","https://secure.usmayors.org/mayorphotos/Woodfin_Randall!53936.jpg","http://www.informationbirmingham.com","209880"
"Montgomery","AL","Steven Reed","mayor@montgomeryal.gov","334-625-2000","https://secure.usmayors.org/mayorphotos/Reed_Steven!54775.jpg","http://www.montgomeryal.gov","198218"
"Huntsville","AL","Tommy Battle","tommy.battle@hsvcity.com","256-427-5000","https://secure.usmayors.org/mayorphotos/Battle_Tommy!537.jpg","http://www.hsvcity.com","197318"
"Mobile","AL","William 'Sandy' S. Stimpson","mayorstimpson@cityofmobile.org","251-208-7395","https://secure.usmayors.org/mayorphotos/Stimpson_Sandy!759.jpg","http://www.cityofmobile.org","189572"
"Tuscaloosa","AL","Walter Maddox","mayor@tuscaloosa.com","205-248-5001","https://secure.usmayors.org/mayorphotos/Maddox_Walter!1184.jpg","http://www.tuscaloosa.com","101113"
"Hoover","AL","Frank V. Brocato","mayorsoffice@ci.hoover.al.us","205-444-7510","https://secure.usmayors.org/mayorphotos/Brocato_Frank!53130.jpg","http://www.hooveral.org","85108"
"Dothan","AL","Mark Saliba","mayor@dothan.org","334-615-3110","https://secure.usmayors.org/mayorphotos/Saliba_Mark!53924.jpg","http://www.dothan.org","68247"
"Auburn","AL","Ron Anders Jr.","randers@auburnalabama.org","334-703-9000","https://secure.usmayors.org/mayorphotos/Anders_Ron!54436.jpg","http://www.auburnalabama.org","65738"
"Decatur","AL","Tab Bowling","tbowling@decatur-al.gov","256-341-4504","https://secure.usmayors.org/mayorphotos/Bowling_Tab!53128.jpg","http://www.decaturalabamausa.com","54264"
"Madison","AL","Paul Finley","mayors.office@madisonal.gov","256-772-5600","https://secure.usmayors.org/mayorphotos/Finley_Paul!53136.jpg","http://www.madisonal.gov","50440"
"Florence","AL","Steve Holt","sholt@florenceal.org","256-760-6400","https://secure.usmayors.org/mayorphotos/Holt_Steve!53129.jpg","http://www.florenceal.org","40428"
"Phenix City","AL","Eddie N. Lowe","elowe@phenixcityal.us","334-448-2701","https://secure.usmayors.org/mayorphotos/Lowe_Eddie!2583.jpg","http://www.phenixcityal.us","36435"
"Prattville","AL","William 'Bill' W. Gillespie Jr.","mayor@prattvilleal.gov","334-361-3609","https://secure.usmayors.org/mayorphotos/Gillespie_Bill!2619.jpg","http://www.prattvilleal.gov","35662"
"Gadsden","AL","Sherman Guyton","sguyton@cityofgadsden.com","256-549-4500","https://secure.usmayors.org/mayorphotos/Guyton_Sherman!423.JPG","http://www.cityofgadsden.com","35157"
"Vestavia Hills","AL","Ashley C. Curry","acurry@vhal.org","205-978-0130","https://secure.usmayors.org/mayorphotos/Curry_Ashley!53137.jpg","http://vhal.org","34461"
"Alabaster","AL","Marty Handlon","handlon@cityofalabaster.com","205-664-6804","https://secure.usmayors.org/mayorphotos/Handlon_Marty!1342.jpg","http://www.cityofalabaster.com","33340"
"Opelika","AL","Gary Fuller","gfuller@opelika-al.gov","334-705-5150","https://secure.usmayors.org/mayorphotos/0034N00002lFuR0.jpg","https://www.opelika-al.gov","30555"
"Bessemer","AL","Kenneth E. Gulley","kgulley@bessemeral.org","205-481-1138","https://secure.usmayors.org/mayorphotos/Gulley_Kenneth!98.jpg","http://www.bessemeral.org","26538"
"Fairhope","AL","Karin Wilson","karin.wilson@fairhopeal.gov","251-990-0100","https://secure.usmayors.org/mayorphotos/Wilson_Karin!53197.jpg","http://www.cofairhope.com","15326"
"Little Rock","AR","Frank D. Scott Jr.","mayorscott@littlerock.gov","501-371-4744","https://secure.usmayors.org/mayorphotos/Scott_Frank!54466.jpg","http://www.littlerock.gov","197881"
"Fort Smith","AR","George B. McGill","mayor@fortsmithar.gov","479-784-2437","https://secure.usmayors.org/mayorphotos/McGill_George!54500.jpg","http://www.fortsmithar.gov","87845"
"Fayetteville","AR","Lioneld Jordan","mayor@fayetteville-ar.gov","479-575-8330","https://secure.usmayors.org/mayorphotos/Jordan_Lioneld!386.jpg","http://www.accessfayetteville.org","86751"
