name,county,state,phone,email,website,address,city,zip,img_url
Sheriff Mark Pettway,Jefferson,AL,(205) 325-5700,sheriff@jeffcosheriff.org,www.jeffcosheriff.net,,,,https://doc-0g-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/ulf62bslvgectsb6sqeaiop20o/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALoA6ymPawwCZhZyfo0yx6JiYmVga0TinPLAqApM3mICNkPpM6QdgTVPEYZv-qJ74EBcMTpK_Ecx6M0C5pgaWZai7Y3AsM0NadSujhCxDQny1ZKYDWfyUny8P3Q-iqNjZ-FDTxb1uF6N2rk9ZjVVyIRAzPfY5Q8lY3CeOm4TJoLBWS0lV8iyy14GsajWw914x22x9yGia2a3QF3cymlrdF5BZ6-xx8TX3BneEBpz1GxdazCp3LL5lQJTgH7V1ruaRIF3_Pbp8UkeJaqIMj-Shya6wqg7Dg?session\\u003d0\\u0026fife\
Sheriff Mark Napier,Pima,AZ,(520) 351-4701,,www.pimasheriff.org,,,,https://doc-0o-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/vfad45dgut3ic00e7lvj5komq0/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALpOZoWMaQBszG9APmqfwURSTynlqZKeM1SESN378gr4-6fFmcb3H-pdaYVNhJ0nAPm4YLtw6EhU-E_cIciRjfhFeb-DHNPPMhrAMWyUBrjeOA217oUXO_Oy9-8GqlZdBC_vA7K_eM44J3kKNb0K5Gus0pGFjZ4Cw9hrXyYtXcNiXjxb1eAHh6vGmKCjpYbLY6GzMRs4xZQRsMhoTvJgXpWobClnLkGDxk_yUUpY_ZBdg-etvgBxjvqtrIvDxMFDne-JoHh93MD-kiy-FFRIUhXJggp7tg?session\\u003d0\\u0026fife\
Sheriff Paul Penzone,Maricopa,AZ,(602) 876-1801,,www.mcso.org,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Paul_Penzone_by_Gage_Skidmore_2.jpg/440px-Paul_Penzone_by_Gage_Skidmore_2.jpg
Sheriff Mark Essick,Sonoma,CA,(707) 565-2781,,www.sonomasheriff.org,,,,https://doc-04-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/lo1s3kp8517p3qf6q0sj1eul5c/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALprljh_J2TRk9h8oR-b4Sn5PHK6kAbZmQlQ3CfSM5kmJt4GknKdUS_8FtQweHN2Q5Rw4nKxUoRGW0RBpazW3bNbIdZ-3XHwtZ4dSzT1MzptS8Ie_FBbElhar0E55RiWWVAf6IEFNK7hpsiwzjiFfOZS03V3fIf3zHSdyxBKu1TVgpZrX2imjrZ8LUcaZpXRWP066_Z1brFM8fkavwKWEW_3A1FWRqG2w6EMkJs6yf-N9kYNmQUBjq6FpNmeszr0i2Gp3Az2Ei1Ss6PdZ9li62jEtL3ASA?session\\u003d0\\u0026fife\
Sheriff Scott Jones,Sacramento,CA,(916) 874-7146,sheriff@sacsheriff.com,www.sacsheriff.com,,,,https://doc-00-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/god0sd1cp482vlkq1ngvv9elgs/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALrCPhUTZXmL5ZjXYlPXd8rqoHkM6ExjmQVaYP65X3dnQXrcLEesA3OSwB1Yibv70JKpx98CcxKOiDROfWie0S3YbSzwNYt615nU_lbupE0C3J-PlMmCltescVbKrZv92GW0ocm5ET1FkZcsjAJfnBpPEF98T5BPe2V-y_DIPbkkKUuquVgmnETRHaXfjfxqoUEaEwzUtCqPvs4Fa3M2h7f9MngYLM-ViLDhhXI44RDDRCxZNV8fNj72DqZloXjfU5WPv2r7g60-KC9mCDTL0LkUmrpJgA?session\\u003d0\\u0026fife\
Sheriff David Livingston,Contra Costa,CA,(925) 335-1510,dlivi@so.cccounty.us,http://www.cocosheriff.org/,,,,https://doc-0o-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/aeh6k6gp41ofb7ja47iu8b05ig/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALqaYzbheZYtgrsthpKc20lqDhpxUwpX-nebtiAjGEm5Y2sSOzEeobfQAY7UXpLfUnRtscovhFvokvYDs6i1JUxnbj0cWgTyurtI9tLSSJ39uUjXM7D6fZsxsT8S-9mfRDAArNrsfSL5ltHkJxj9KQyhULjjKPtMI8taR3tnbfE7DeTosArLzb5rEdEZF9pwx1Ww-Wzvi2mIjcOG0h56TL7j4Ix08eZ6EuWHh5ipcOCXQJe1d1V4L2agMiAq4IaXdKOb_-TzK-tntRBwKXpxEsvwIf9ivg?session\\u003d0\\u0026fife\
Sheriff Gregory Ahern,Alameda,CA,(510) 272-6866,,www.alamedacountysheriff.org,,,,https://www.alamedacountysheriff.org/pictures/SheriffAhern.jpg
Sheriff Paul Miyamoto,San Francisco,CA,(415) 554-7225,,www.sfsheriff.com,,,,https://www.sfsheriff.com/sites/default/files/styles/large/public/2020-01/Paul%20Right%202%20New_1.jpg?itok=kYSFvoY0
Sheriff Carlos Bolanos,San Mateo,CA,(650) 599-1664,,www.smcsheriff.com,,,,https://doc-0s-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/cq0e0v97h3m83914sicq79dr2o/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALrQKOEnU7lIdqtUmuoMbU0mxLF9IM7yJQ9VYt8KuaszsfImVZyf1Q5LOqYgdv-bEOr5WLTP-jYnQRMv8wOlqm9dwrdjxGhnfzgaReHNlPZfHeLhFWkqlG7Uucr3EMmCCguSbSHdXRDMtXjpvon7iKf8bOcsaYwPfr-GH0AZXsWDbMxkDMTDVJG3EBECkELnbtUzZvX5_0QKrx-RBPccqOByDctmZQF4wYrUtRCF06ZAxbAjsLJZoi8xGS6iHVxUpJg59iIzgyPzLtyQniqdPn2RlGLASg?session\\u003d0\\u0026fife\
Sheriff Laurie Smith,Santa Clara,CA,(408) 808-4900,,www.sccgov.org/sites/sheriff,,,,https://doc-14-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/q2b8fjje4hlihgkq587pg208kg/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALop5QgZraDMh7taGITaV8l8hdGIxDOuiol6TLV7WxBF9wNOeh3hMmw3rRbmk2wNBc-fmmH1qim4qLEpUZGwXlzWSZ1fSe-xx9ELipedZK6O63WIU5gMAxC5r0PoKuQo3mVzlthZla0tcSlFa6kFJ6srTT3ZNSmj8jB5f4q110g1tQgduvsT16v-LVdU1LkhZmsTemQ5mL7wcQrGYRvoGr4HcFDR45Nk5UmU-UBE-HiBX6m9dfRlnFhWWZdReyXh3RUvGsOCFflCWX8p3YfrX3ZWJ6PwQw?session\\u003d0\\u0026fife\
Sheriff Adam Jeff Dirkse,Stanislaus,CA,(209) 525-7216,news@stanislaussheriff.com,www.scsdonline.com,,,,https://doc-0g-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/hic49f8na9lredcdlib4h3pqn4/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALr6MtuoRfQOQeYoWjJHphUV-jQGnXBqSncTRDTZ6IJ5M2Rgs0VGnJIniuz-iDp2SZ-5wgZUah3w8TXMTwVHMT-MM8Ghacu09s7D0i76KxTYqfsSnzMwxDJnxDKthwu9iEXzj7eok3ixOslClVH7ZH9QTM9NNHnBWliu1dhOhiVrM8W6z1xYs41wegTxdu0vYJxXwL0aH7yB4-zSa5DgZ4JpoKOeDnyitRsIjqkRVTLhiY3Z_FRFcKJLGe4CfQiQg3_lR0I4O6bNV5G1rwui4_HGZOm35g?session\\u003d0\\u0026fife\
Sheriff Margaret Mims,Fresno,CA,(559) 488-3121,margaret.mims@fresnosheriff.org,www.fresnosheriff.org,,,,https://doc-0o-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/jtnqmv8kjhbk6jf7fpc07cadv0/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALouHhpDkItGwq8QM5poxAAqS1aEJ2lWfJ7RtywZILgDvW3M4CrS5fYldcPY-diKxb1985wlwKkPWbW6yz4s39g-KN5dGSscmTtTVZMTdfjbQJWJMiFLAaxAeVJlSrQT8u_T_TIyWgkNMzq4rM7flaP79mvtCO6F1EfxAgl-VN_gN6Ietbhx-g403z4EnOpjOtNTm6opISJmInHd2XSVmCQ_mxhBM57igff8-Q7JjpzXKMOt8P5QgViWsFSrRIviOpYLSW3EP-sD-95gZfoDOeclLSpnww?session\\u003d0\\u0026fife\
Sheriff Donny Youngblood,Kern,CA,(661) 391-7771,Sheriff@KernSheriff.com,www.kernsheriff.org,,,,https://doc-0k-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/3qhrapuupbibom38fnbl49d9e8/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALpxMT1QJ1vYpCNJ_DkRaMguJQ_wA3oSk_9JkKDmI--Urc6vUKA3cwJLIh3kti88BSflwejyLcLKjHnX7czMoTWbvJzexqSsODmd8iaQNJgwRE3Li-rcYnScPwsdhgudAebWxjBqALgi8yTSMP1Z_GBBjEjIR-UoBgxNau_J3DwwcAWDxft-GJ2qbGNmop7tMgzXWr5vZNz7A3pWzH1QqNFRdcUSwrr-lpoFa0RF0bJ5KGCz3p5pumlzwkgYlSLrrnqJwmyW5lePyJ4_sG8MyaFgQCnw7A?session\\u003d0\\u0026fife\
Sheriff Bill Ayub,Ventura,CA,(805) 654-2315,sheriff@ventura.org,www.vcsd.org,,,,https://doc-0k-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/cn9igrsmmfs0t22eo8r0em2kfs/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALoZoNLOYLsMdUOp76IXZ_LpRKWWu_FpWebdCX2ssxcjnfr6h-sYzfbS-t5LpfoNk2WF1BvCfq1D9OaEjI77u2q7H0lZeitdaoM5UgDWJTHsy9eNk9yDdO8adxWua5uhGWsl-iiWis3fd4wvdT_YHmcCHnvcPwJyLDrgj2mWir6bS1yJQAdijzJepXe0MaKmFo7KNCoMKA7sj6TrntIfc62KjYPYHROIijkezPZwLlLRzpQoIz1c903OnAoDaBQiMVJzWhQXjcOsd4CqU9oScjQog7n9MA?session\\u003d0\\u0026fife\
Sheriff Alex Villanueva,Los Angeles,CA,(213) 229-3000,lasd@lasd.org,https://lasd.org,,,,https://doc-00-8k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/hkqgmqcsa5lsjsnulgrhqv89ak/1591896600000/sxIlIdZoLh4xI8i-L7KBCC7xYQoVdnSk/*/6AF2TALrdOHkyrMW7xsiM9d_yBpaLTWYYS23SkdXFC7qwJFoFNDIq_grR3Isp5ZzJ7iOv9JxYdTZ0C5BtuTJWTLXqje81CAPaf3P1-AhWoe3S8nsyP-TY3PTMR2sNCLn7NHuzi4F23oi6GxFLZ3Hjq6Pz597NnAtQW-sGZyHBdWxKPVMzscjcfw_WEtziWckNzsAK6qYVwVJpc1S9VWPJxxbhazDPECBSmQTOUyz_J3plmEVAAtrqUzbNhviOBIvG2cqlJ3Hn-KdsDW0_g6xlzzd470rvL0CQcw?session\\u003d0\\u0026fife\
